STATE,STATE NAME,STATE OF REOPENING,NEW GATING SCORE,GATING SCORE COLOR,GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,Rt**,SCORE,NORMALIZED,PROGRESS ON INTERVENTIONS,GRADE,CURVE,CURVED GRADE,TOTAL TESTS,% OF TESTING TARGET*,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,TOTAL DEATHS,MISSING ACTIONS,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TEST CAPACITY (7-DAY AVG),TESTS-T-14,TESTS-T-13,TESTS-T-12,TESTS-T-11,TESTS-T-10,TESTS-T-09,TESTS-T-08,TESTS-T-07,TESTS-T-06,TESTS-T-05,TESTS-T-04,TESTS-T-03,TESTS-T-02,TESTS-T-01,TESTS-T-0,% OF TEST TARGET,% OF TARGET (US: 4M/DAY),GATING CRITERIA TESTS,% POSITIVE (7-DAY AVG),POSITIVITY IS,CASE-DOUBLING-DAYS,POSITIVITY-13,POSITIVITY-12,POSITIVITY-11,POSITIVITY-10,POSITIVITY-09,POSITIVITY-08,POSITIVITY-07,POSITIVITY-06,POSITIVITY-05,POSITIVITY-04,POSITIVITY-03,POSITIVITY-02,POSITIVITY-01,POSITIVITY-00,POSITIVITY,POSITIVITY-GRADE,% OF ICU,ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR,COVID+ RATE IS
Georgia,Georgia,N/A,Bruised Red,Red,3,Increasing,69% ^Increasing^,69%,135,77,50,50%,F,71,C,1064873,124%,114401,737,785,826,845,833,864,848,889,1001,1003,1073,1229,1336,1455,1569,1597,1787,1927,1945,2122,2373,2500,2619,2615,2521,2740,2808,2717,2960,3012,2996,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Close non-essential businesses. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 3^,Green,19788,13633,15519,16442,14660,15972,17902,18598,19507,20321,19405,20796,20767,19455,20733,19788,124%,15%,Green,17.50%,15.2% ^Increasing^,24,11.52%,11.72%,13.27%,13.29%,13.26%,13.44%,13.43%,12.87%,12.99%,13.17%,13.52%,13.97%,14.28%,15.22%,15.22%,Bruised Red,82,82% ^Constrained^,Constrained,71% ^Elevated^,Elevated,0.9 - 1.3,24,19,19,17,18,15,12,12,12,13,13,14,12,16,20,284,Bruised Red,230,116,128,137,148,155,157,163,170,185,197,209,219,230,230,98% ^Increasing^,Red,2.62%,Yellow,15.2% ^Increasing^
Hawaii,Hawaii,N/A,Yellow,Yellow,1,Increasing,165% ^Increasing^,165%,133,88,57,57%,F,81,B,92234,59%,1158,5,6,7,8,9,8,8,10,12,11,12,11,11,13,13,11,10,12,12,14,13,14,16,18,18,19,22,24,26,26,19,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,1251,1081,1088,1206,1200,1217,1194,1230,1311,1264,1129,1133,1148,1266,1282,1251,59%,7%,Yellow,2.20%,2.1% ^Increasing^,28,0.91%,1.01%,1.00%,1.15%,1.09%,1.11%,1.19%,1.44%,1.57%,1.64%,1.92%,1.90%,2.05%,2.09%,2.09%,Green,70,70% ^Elevated^,Elevated,71% ^Elevated^,Elevated,1.0 - 1.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Green,State not reporting,,,,,,,,,,,,,,0,------ ^Not enough data^,Red,1.64%,Yellow,2.1% ^Increasing^
Idaho,Idaho,N/A,Bruised Red,Red,3,Increasing,123% ^Increasing^,123%,128,107,69,69%,D,98,A,122349,113%,9928,35,35,37,37,39,46,53,63,74,87,87,113,123,145,160,182,188,188,214,245,246,247,264,293,345,329,346,371,405,419,101,Improve COVID case information being reported on state website. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 2^,Green,3040,1837,1911,1911,1877,1886,2083,2334,2430,2560,2874,2748,2899,2786,2767,3040,113%,14%,Green,14.40%,13.8% ^Increasing^,14,9.82%,9.82%,11.40%,12.99%,11.83%,10.58%,10.85%,11.44%,12.00%,11.96%,11.94%,13.33%,14.64%,13.79%,13.79%,Bruised Red,49,49% ^Normal^,Normal,49% ^Normal^,Normal,1.0 - 1.5,14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,235,Bruised Red,48,24,24,24,24,24,24,42,42,42,28,28,51,51,48,105% ^Increasing^,Red,1.02%,Yellow,13.8% ^Increasing^
Illinois,Illinois ??,N/A,Yellow,Red,2,Increasing,27% ^Increasing^,27%,137,97,63,63%,D,89,B,1945220,157%,154094,878,835,807,677,652,641,616,630,625,623,621,618,642,685,696,718,716,756,773,789,786,790,801,800,782,762,784,805,861,909,7369,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,29947,26325,26321,27564,29073,29610,29406,29965,30479,30971,30145,29563,29513,30358,30160,29947,157%,20%,Green,3.40%,3.0% ^Increasing^,115,2.72%,2.74%,2.66%,2.67%,2.67%,2.64%,2.63%,2.58%,2.59%,2.58%,2.66%,2.65%,2.85%,3.03%,3.03%,Yellow,55,55% ^Normal^,Normal,62% ^Normal^,Normal,0.9 - 1.3,115,34,33,30,25,25,24,21,20,19,21,22,20,19,21,72,Yellow,110,116,118,123,119,130,106,106,105,110,109,109,119,113,110,-5% ^Decreasing^,Green,4.78%,Yellow,3.0% ^Increasing^
Indiana,Indiana,N/A,Red,Red,2,Increasing,45% ^Increasing^,45%,134,93,60,60%,D,85,B,558146,65%,51079,367,364,359,401,393,382,384,371,360,359,315,298,304,317,342,359,358,371,389,402,390,396,408,440,443,433,444,455,484,521,2756,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,6551,8745,8374,8229,8260,8262,7512,7180,7039,7312,7153,6554,6592,6494,6630,6551,65%,8%,Yellow,8.40%,8.0% ^Increasing^,66,4.28%,4.50%,4.71%,4.86%,5.20%,5.52%,5.80%,6.01%,6.20%,6.61%,6.74%,7.01%,7.29%,7.95%,7.95%,Red,66,66% ^Normal^,Normal,62% ^Normal^,Normal,1.0 - 1.5,66,11,10,10,10,11,12,10,11,11,11,12,11,10,10,77,Yellow,106,92,93,103,99,96,94,94,94,91,97,99,102,99,106,16% ^Increasing^,Red,5.40%,Red,8.0% ^Increasing^
Iowa,Iowa,N/A,Bruised Red,Red,3,Increasing,43% ^Increasing^,43%,133,47,31,31%,F,43,F,368361,118%,34647,312,320,323,295,278,273,274,277,254,291,285,313,321,335,344,359,361,390,376,392,430,392,433,409,411,432,437,433,508,515,748,Improve COVID case information being reported on state website. Consider a more restrictive stay home policy. Require a statewide six-feet physical distancing policy. Consider a more restrictive gatherings policy. Close non-essential businesses. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 2^,Green,5621,5649,5538,6030,5641,5690,5783,5403,5608,5222,4945,5016,5223,5303,5827,5621,118%,15%,Green,10.60%,9.2% ^Increasing^,44,6.52%,6.47%,6.67%,6.89%,7.44%,7.25%,7.72%,7.83%,8.31%,8.61%,8.36%,8.17%,8.72%,9.16%,9.16%,Red,54,54% ^Normal^,Normal,52% ^Normal^,Normal,0.9 - 1.3,44,3,3,4,4,3,2,2,2,2,1,3,3,3,4,163,Bruised Red,56,37,38,42,47,46,46,42,45,48,52,52,53,54,56,51% ^Increasing^,Red,2.16%,Yellow,9.2% ^Increasing^
Kansas,Kansas ??,N/A,Bruised Red,Red,2,Increasing,82% ^Increasing^,82%,134,88,57,57%,F,81,B,217779,85%,18611,93,93,93,110,110,124,124,145,145,145,149,149,184,184,211,211,211,283,283,289,289,340,340,340,351,351,375,375,385,385,284,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Close restaurants except for takeout and delivery. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,3745,2887,2887,3102,3102,3067,3067,3386,3386,3386,3642,3642,3616,3616,3745,3745,85%,11%,Yellow,9.10%,10.3% ^Increasing^,31,7.32%,9.11%,9.11%,9.41%,9.41%,10.05%,10.05%,10.05%,9.64%,9.64%,10.38%,10.38%,10.27%,10.27%,10.27%,Bruised Red,58,58% ^Normal^,Normal,53% ^Normal^,Normal,0.9 - 1.4,31,1,2,2,2,2,2,2,2,1,1,1,1,1,1,132,Red,State not reporting,,,,,,,,,,,,,,0,------ ^Not enough data^,Red,1.53%,Yellow,10.3% ^Increasing^
Kentucky,Kentucky ??,N/A,Red,Red,2,Increasing,85% ^Increasing^,85%,135,107,69,69%,D,98,A,437902,90%,19121,138,165,165,167,160,159,179,216,169,186,170,187,195,203,201,176,212,215,212,211,209,217,217,163,258,271,297,309,328,392,622,Improve COVID case information being reported on state website. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,6036,4799,5887,5630,5663,5913,6130,6413,6413,5308,5557,5563,5547,5460,5292,6036,90%,11%,Yellow,6.50%,6.5% ^Increasing^,31,3.60%,3.83%,3.74%,3.57%,3.41%,3.38%,3.38%,3.08%,4.64%,4.87%,5.35%,5.67%,6.19%,6.50%,6.50%,Yellow,78,78% ^Elevated^,Elevated,75% ^Elevated^,Elevated,0.9 - 1.4,31,5,5,4,5,5,5,5,4,5,5,5,4,5,5,88,Red,83,86,85,91,96,96,102,102,102,97,94,101,102,92,83,-4% ^Decreasing^,Green,3.25%,Yellow,6.5% ^Increasing^
Louisiana,Louisiana,N/A,Bruised Red,Red,3,Increasing,109% ^Increasing^,109%,133,77,50,50%,F,71,C,924447,286%,76803,429,542,543,589,585,658,595,503,443,451,438,556,549,683,893,769,923,977,929,1100,1164,1217,1217,1284,1321,1453,1425,1490,1621,1931,3403,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Close non-essential businesses. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Low ^Level 4^,Green,20044,10456,12186,12368,13225,14798,15244,15162,15162,15192,15573,17012,16236,16109,17301,20044,286%,36%,Green,10.50%,9.6% ^Increasing^,25,7.57%,7.90%,7.02%,7.43%,7.63%,8.03%,8.03%,8.45%,8.48%,8.54%,8.78%,9.25%,9.37%,9.63%,9.63%,Red,64,64% ^Normal^,Normal,66% ^Normal^,Normal,1.0 - 1.4,25,13,12,12,12,13,13,13,13,14,14,14,14,15,18,415,Bruised Red,254,154,159,168,172,181,183,183,199,207,220,220,224,240,254,65% ^Increasing^,Red,4.43%,Yellow,9.6% ^Increasing^
Maine,Maine ??,N/A,Yellow,Yellow,1,Decreasing,-47% ^Decreasing^,-47%,130,91,59,59%,F,83,B,118427,88%,3520,34,33,32,32,30,28,30,27,26,23,23,25,26,27,27,31,33,35,37,40,37,39,35,32,29,27,24,23,18,18,112,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,1783,1765,1786,1788,1892,1722,1888,1942,2002,2062,2290,2279,2242,2134,2137,1783,88%,11%,Yellow,1.10%,1.0% ^Decreasing^,136,1.87%,1.98%,1.96%,2.30%,1.95%,1.99%,1.73%,1.55%,1.27%,1.17%,1.06%,1.06%,0.84%,0.99%,0.99%,Green,65,65% ^Normal^,Normal,68% ^Normal^,Normal,0.7 - 1.0,136,0,0,0,0,0,0,0,1,1,1,1,1,1,1,13,Green,12,23,23,22,22,22,20,20,19,16,16,16,12,11,12,-48% ^Decreasing^,Green,3.18%,Yellow,1.0% ^Decreasing^
Maryland,Maryland ??,N/A,Yellow,Red,2,Increasing,27% ^Increasing^,27%,136,91,59,59%,F,83,B,629277,88%,72467,549,546,533,518,501,501,433,419,379,372,367,371,338,364,367,356,353,379,365,369,378,407,413,408,379,405,420,432,421,447,3310,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,7991,7362,7206,7798,7474,7450,7745,8205,8504,8641,8293,8360,8643,8487,8176,7991,88%,11%,Yellow,6.40%,5.6% ^Increasing^,110,4.90%,4.86%,4.88%,4.95%,4.88%,4.95%,4.86%,4.72%,4.57%,4.85%,4.86%,5.09%,5.15%,5.59%,5.59%,Yellow,75,75% ^Elevated^,Elevated,80% ^Elevated^,Elevated,0.9 - 1.3,110,15,14,14,14,12,12,11,11,10,11,10,11,11,11,74,Yellow,65,74,74,75,76,73,70,68,68,67,67,66,67,64,65,-13% ^Decreasing^,Green,4.57%,Yellow,5.6% ^Increasing^
